"zoneid","hu12_states","hu12_canopy2001_mean","hu12_nlcd2006_pct_41","hu12_nlcd2006_pct_42","hu12_nlcd2006_pct_43","hu12_nlcd2006_pct_52","hu12_nlcd2006_pct_71","hu12_tri_mean","hu12_surficialgeology_alluv_pct","hu12_surficialgeology_beach_pct","hu12_surficialgeology_colluv_pct","hu12_surficialgeology_dec_resid_pct","hu12_surficialgeology_eolian_pct","hu12_surficialgeology_gf_out_pct","hu12_surficialgeology_ice_pct","hu12_surficialgeology_lac_pct","hu12_surficialgeology_lac_clay_pct","hu12_surficialgeology_marine_pct","hu12_surficialgeology_peat_mrsh_pct","hu12_surficialgeology_saprol_pct","hu12_surficialgeology_solif_pct","hu12_surficialgeology_solut_pct","hu12_surficialgeology_till_clay_pct","hu12_surficialgeology_till_loam_pct","hu12_surficialgeology_till_oth_pct","hu12_surficialgeology_till_sand_pct","hu12_latewisconsinglaciation_glaciation"
299,"MO",49.9365,53.4435,3.6346,3.5351,1.5568,1.6465,1.0126,17.8809,0,0,0,0,0,0,0,0,0,0,0,0,82.1191,0,0,0,0,3
300,"MO",43.7094,52.9795,0.5318,1.169,0.2791,1.3926,1.0247,15.9288,0,0,0,0,0,0,0,0,0,0,0,0,84.0712,0,0,0,0,3
301,"MO",55.714,57.6695,6.214,3.4056,0.3129,1.5482,1.0362,16.3469,0,0,0,0,0,0,0,0,0,0,0,0,83.6531,0,0,0,0,3
302,"MO",49.1015,47.0917,7.7844,2.3958,0.3882,1.4944,1.0056,22.6385,0,0,0,0,0,0,0,0,0,0,0,0,77.3615,0,0,0,0,3
303,"MO",73.6744,62.9902,14.2103,6.4513,5.0177,1.6642,1.3863,8.0525,0,0,0,0,0,0,0,0,0,0,0,0,91.9475,0,0,0,0,3
304,"MO",59.2143,53.9833,10.1071,4.0218,0.6134,2.334,1.1489,28.2767,0,0,0,0,0,0,0,0,0,0,0,0,71.7233,0,0,0,0,3
305,"MO",75.5382,62.4615,12.8113,10.658,0.5529,1.3572,1.6814,7.0406,0,0,0,0,0,0,0,0,0,0,0,0,92.9594,0,0,0,0,3
306,"MO",75.4915,58.0028,18.026,10.8681,2.062,1.2783,1.4875,24.8656,0,0,0,0,0,0,0,0,0,0,0,0,75.1344,0,0,0,0,3
307,"MO",55.9519,48.6346,11.1819,4.1509,0.4339,2.6963,1.1044,27.336,0,0,0,0,0,0,0,0,0,0,0,0,72.664,0,0,0,0,3
308,"MO",60.234,69.6185,1.0791,2.2467,0.3667,2.2624,1.505,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
309,"MO",69.6355,69.3629,8.5959,5.2186,0.1746,1.5477,1.5138,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
310,"MO",71.8222,62.9998,17.6747,4.77,0.2263,1.0056,1.3964,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
311,"MO",65.1075,64.3129,7.8632,2.7683,0.1654,2.0445,1.2793,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
312,"MO",51.016,43.531,13.1794,3.8916,0.6065,2.3114,1.1584,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
313,"MO",54.2922,45.5497,11.9194,3.5812,0.3144,3.3209,1.0791,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,99.9875,0,0,0,0,3
314,"MO",66.1989,48.0427,20.2775,8.07,0.3567,3.4887,1.1662,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
315,"MO",65.3116,56.2662,14.5697,5.4574,0.4411,3.0592,1.0771,0,0,0,0,0,0,0,0,0,0,0,0,0,90.5759,0,0,0,0,3
