"zoneid","hu12_states","hu12_nlcd2006_pct_11","hu12_nlcd2006_pct_90","hu12_nlcd2006_pct_95","hu12_baseflowindex_mean","hu12_groundwaterrecharge_mean","hu12_prism_ppt_30yr_normal_800mm2_annual_mean","hu12_prism_tmean_30yr_normal_800mm2_annual_mean","hu12_runoff_mean","hu12_lakes_lakes4ha_overlapping_area_pct","hu12_lakes_lakes4ha_isolated_overlapping_area_pct","hu12_lakes_lakes4ha_headwater_overlapping_area_pct","hu12_lakes_lakes4ha_drstream_overlapping_area_pct","hu12_lakes_lakes4ha_drlakestream_overlapping_area_pct","hu12_lakes_lakes4to10ha_overlapping_area_pct","hu12_lakes_lakes10ha_overlapping_area_pct","hu12_streamdensity_streams_density_mperha","hu12_streamdensity_headwaters_density_mperha","hu12_streamdensity_midreaches_density_mperha","hu12_streamdensity_rivers_density_mperha","hu12_wl_allwetlandsundissolved_overlapping_area_pct","hu12_wl_isolatedwetlandsundissolved_overlapping_area_pct","hu12_wl_singlewetlandsundissolved_overlapping_area_pct","hu12_wl_connectedwetlandsundissolved_overlapping_area_pct","hu12_wl_forestedwetlandsundissolved_overlapping_area_pct","hu12_wl_scrubshrubwetlandsundissolved_overlapping_area_pct","hu12_wl_openwaterwetlandsundissolved_overlapping_area_pct"
5377,"IL",0.0554,0.3918,0.0378,37.9853,104.8824,973.0059,10.1527,11.2176,0,0,0,0,0,0,0,15.336,13.8106,1.5254,0,0.6689,0.2593,0.0068,0.4028,0.3642,0.004,0.3006
5378,"IL",2.0123,1.7139,0.0435,34.8491,96.7642,971.5042,10.1394,11.2376,0,0,0,0,0,0,0,7.6122,5.9118,0.0042,1.6963,1.2335,0.4042,0.023,0.8063,0.8718,0.0464,0.3153
5379,"IL",0.1584,0.4129,0.0506,29.9815,87.3148,997.4258,10.0332,11.6544,0,0,0,0,0,0,0,4.4771,4.4771,0,0,1.4024,1.3077,0.0923,0.0023,0.0486,0.0262,1.3268
5380,"IL",0.305,0.0114,0.0299,31.81,89.69,992.258,10.0548,11.355,0.1499,0.1499,0,0,0,0,0.1499,5.837,5.837,0,0,0.8892,0.7179,0,0.1713,0.0374,0,0.8518
5381,"IL",0.3825,1.1236,0.0266,30.6429,86.6122,995.4487,10.0558,11.3523,0.2962,0.1191,0,0.1771,0,0.1191,0.1771,4.7697,4.7697,0,0,1.3867,1.0652,0.0685,0.2531,0.2774,0.1495,0.9598
5382,"IL",0.0284,0.0454,0,34.1452,91.0323,973.5793,10.0473,10.7742,0,0,0,0,0,0,0,9.0348,8.3055,0.7294,0,0.9312,0.3757,0,0.5555,0.4945,0,0.4368
5383,"IL",1.2222,0.1296,0,34.7073,87.9024,950.8712,10.0627,10.1755,0,0,0,0,0,0,0,10.3241,10.3173,0.0068,0,0.2938,0.1541,0.0781,0.0616,0.0057,0,0.2881
5384,"IL",0.0302,0.0586,0,35.2789,89.0272,952.6933,10.0498,10.123,0,0,0,0,0,0,0,10.677,9.4017,1.2752,0,0.6303,0.4364,0.0746,0.1193,0.1794,0.0321,0.4188
5385,"IL",0,0.0408,0,35.9277,89.3133,951.9688,10.0318,9.9323,0,0,0,0,0,0,0,9.4773,6.7474,2.7299,0,0.1018,0.0228,0,0.0789,0.0476,0,0.0542
5386,"IL",0.0709,0.1645,0.0383,36.6825,91.8254,948.5311,9.9751,9.9888,0.1023,0.1023,0,0,0,0,0.1023,16.5291,14.5476,1.9815,0,2.3342,0.6149,0.269,1.4503,1.5875,0.0584,0.6883
5387,"IL",0,0.0966,0,31.3617,85.8191,984.1097,10.0624,11.0124,0,0,0,0,0,0,0,6.3415,6.3406,9e-04,0,0.8621,0.4241,0.0567,0.3813,0.2383,0.1466,0.4763
