"hu12_lat","hu12_long"
37.757473,-94.3344421
37.7355118,-94.4289703
37.819622,-94.3854218
37.8778992,-94.4646072
37.9008522,-94.2998962
37.9137192,-94.3805389
37.6644859,-94.2490692
37.718174,-94.1764984
37.8948441,-94.1912308
37.8201981,-94.2364807
37.7840767,-94.1154785
37.8592567,-94.0842133
37.9178467,-94.0677872
37.9351349,-93.9740829
37.9783287,-94.1875534
38.1500778,-94.1392975
38.1517792,-94.0910873
38.061367,-94.1840591
38.0340843,-94.0676041
38.0219803,-93.9863281
37.8269272,-93.4630432
37.884201,-93.5719223
37.916008,-93.4942856
37.9995117,-93.6048813
38.1449471,-93.9801178
38.0778618,-93.9014282
37.9143333,-92.0480347
37.9715118,-92.0054169
38.0091667,-91.9178009
38.0508156,-91.8036957
38.0880394,-91.9406204
38.1629715,-91.8702087
38.2210121,-91.8501511
38.2861023,-91.8533401
38.3460617,-91.836998
38.3782959,-91.7129822
38.338131,-91.6311646
38.3656845,-91.684227
37.9732552,-93.8991852
38.0374451,-93.8409119
38.0384483,-93.7887421
38.0899696,-93.7416382
38.0468063,-93.6645355
38.0239258,-93.5445786
38.1281128,-93.6316147
38.0175323,-93.4774094
38.1507835,-93.4772568
38.1859283,-93.5449448
38.3627625,-93.383461
38.2139626,-93.3995819
37.117588,-93.6699066
37.1127548,-93.6066742
37.2050438,-93.6922226
37.3308258,-93.7144623
37.2745171,-93.777092
37.3212242,-93.8679962
37.4018288,-93.7656937
37.1410713,-93.5327911
37.1959534,-93.4670105
37.2477112,-93.5975571
37.2695541,-93.4477997
37.3536682,-93.5390549
37.3180313,-93.5975037
37.4247665,-93.6657028
37.4289436,-93.918129
37.5071869,-93.8505402
37.2636871,-93.247963
38.3866386,-92.5420761
38.4004784,-92.6126175
38.3973541,-92.4631577
37.4775085,-91.6703339
37.3998032,-91.7545013
37.2594376,-91.8245697
37.2925186,-91.7254028
37.3501244,-91.6511002
37.4513512,-91.6129074
37.5289078,-91.5408478
37.4868851,-91.4830933
37.4190445,-91.5318298
37.3760948,-91.5908585
37.3387299,-91.5057068
37.0517349,-91.9199753
37.1038742,-91.9148026
37.1477432,-91.8139801
37.0568123,-91.803421
36.9997253,-91.6614227
37.0568085,-91.696167
37.1060333,-91.6023026
37.0518036,-91.5561066
37.1294289,-91.5175476
37.0706406,-91.4152756
37.1794243,-91.455925
37.4399986,-91.4003983
37.3097534,-93.2160187
37.397789,-93.2984009
37.3339729,-93.3715744
37.5061073,-93.3991394
37.4097939,-93.4556656
37.4830093,-93.5829315
37.5243263,-93.5249634
37.37957,-91.3527603
37.1701469,-91.7174911
37.2666206,-91.5947571
37.2249069,-91.6421585
37.1814842,-91.6018982
37.2565689,-91.4697723
37.2603188,-91.3796005
37.242363,-91.299202
37.5676155,-93.6790237
37.6011162,-93.4971008
37.6886444,-93.5739975
37.6384163,-93.6225891
37.6946182,-93.6859283
37.4801483,-93.7819519
37.5822716,-93.7887421
37.6768913,-93.7740402
37.4686813,-94.0324249
37.582058,-94.1237335
37.6585541,-94.0519333
37.7366066,-93.9916077
37.5445061,-93.9646835
37.6182365,-93.9073715
37.691082,-93.8775558
37.8140373,-93.9814072
37.8362999,-93.8769684
37.7617149,-93.7817764
37.7919426,-93.7130127
37.7890854,-93.5698624
37.842823,-93.6837921
37.8827362,-93.7992554
37.9266129,-93.6676483
37.9494324,-93.753952
37.3237305,-93.028862
37.3772392,-93.1821671
37.4047928,-93.1124115
37.4803848,-93.2429428
37.6222153,-93.1472549
37.7117844,-93.1161499
37.6912918,-93.2120132
37.7582817,-93.2440491
37.8463135,-93.2642517
37.5422058,-93.2630997
37.613018,-93.2456131
37.6111145,-93.3986359
37.6256294,-93.3250504
37.7075005,-93.4520645
37.7695427,-93.3661041
37.852047,-93.3531647
37.9067459,-93.2814484
37.9834595,-93.2887497
38.0397835,-93.419136
38.1024628,-93.3436584
38.4401131,-94.4470673
38.4131088,-94.3068314
38.4331779,-94.1041946
38.4163742,-93.9864349
38.3269958,-94.1171112
38.2549782,-94.1423492
38.326313,-93.9930801
38.2691536,-93.9407349
38.2325211,-93.8738098
38.2146988,-93.7859573
38.4210968,-93.8213654
38.3694954,-93.8092117
38.347496,-93.7267838
38.4204102,-93.6695175
38.3961449,-93.51017
38.3476982,-93.4814453
38.2237816,-93.6985855
38.2763138,-93.6045761
38.2736931,-93.4853897
38.0853386,-93.2388306
38.2044945,-93.2667999
38.4316368,-93.1879807
38.3848648,-93.162796
38.3339348,-93.2416611
38.2608414,-93.3257599
38.1081161,-93.1415405
38.1975021,-93.1775055
38.2621498,-93.162796
38.3397331,-93.0692062
38.2132721,-93.1006622
38.1453476,-93.0460587
38.2708778,-93.0115662
38.2261238,-92.9525452
38.1655922,-92.91465
38.1381836,-92.8235092
37.6446419,-92.7036438
37.7612305,-92.7009277
37.7756653,-92.6254196
37.8982849,-92.6749268
37.861824,-92.4997177
37.9081535,-92.4145432
37.9078407,-92.5635452
37.9704437,-92.5053787
37.997757,-92.6042175
37.9934769,-92.4301376
38.0679092,-92.4836197
38.0890312,-92.6085587
38.0745125,-92.7128067
38.3521805,-92.9002533
38.3858299,-92.8078156
38.338192,-92.722496
38.2613869,-92.8072662
38.1839142,-92.728569
38.2253036,-92.6870651
37.3889236,-92.9066162
37.5057831,-92.8818359
37.4526863,-92.9752426
37.5703201,-92.8809509
37.5444717,-93.0075531
